Kommun;Antal bostäder 2022;Antal småhus;Antal flerbostadshus;Tillskott 2060 (låg);Tillskott 2060 (låg,%);Tillskott 2060 (hög);Tillskott 2060 (hög, %);Antal småhus + flerbostadshus;Antal bostäder - Clm I;Antal flerbostadshus 2060 (hög);Förtätning
Botkyrka;37200;12540;22861;13200;35,5;17000;45,7;35401;1799;39861;74
Danderyd;13600;6859;6041;2800;20,6;4700;34,6;12900;700;10741;78
Ekerö;10700;8844;1452;2800;26,2;5600;52,3;10296;404;7052;386
Haninge;40100;15664;22691;13200;32,9;20800;51,9;38355;1745;43491;92
Huddinge ;46700;19620;23678;22600;48,4;32200;69,0;43298;3402;55878;136
Järfälla ;37700;11401;24818;18800;49,9;28400;75,3;36219;1481;53218;114
Lidingö ;22600;7295;13645;2800;12,4;5600;24,8;20940;1660;19245;41
Nacka ;46700;16172;28075;19800;42,4;26600;57,0;44247;2453;54675;95
Norrtälje ;33800;19067;12578;9400;27,8;17000;50,3;31645;2155;29578;135
Nykvarn ;4500;2951;1474;1900;42,2;3800;84,4;4425;75;5274;258
Nynäshamn ;13700;6289;7284;2800;20,4;5600;40,9;13573;127;12884;77
Salem;6900;3761;2797;1900;27,5;3800;55,1;6558;342;6597;136
Sigtuna ;20700;6992;12780;7600;36,7;11400;55,1;19772;928;24180;89
Sollentuna ;32400;13192;17110;13200;40,7;17000;52,5;30302;2098;34110;99
Solna;45400;701;40169;18800;41,4;26400;58,1;40870;4530;66569;66
Stockholm ;511200;45708;425308;135600;26,5;208400;40,8;471016;40184;633708;49
Sundbyberg ;27100;1442;23851;17600;64,9;26600;98,2;25293;1807;50451;112
Södertälje ;44000;13216;28687;13200;30,0;20800;47,3;41903;2097;49487;73
Tyresö ;20600;9353;10434;4700;22,8;8500;41,3;19787;813;18934;81
Täby;32800;14700;16890;17000;51,8;26600;81,1;31590;1210;43490;157
Upplands-Bro;13100;5108;7666;4700;35,9;8500;64,9;12774;326;16166;111
Upplands-Väsby;21400;6933;13852;6500;30,4;10300;48,1;20785;615;24152;74
Vallentuna;14500;9094;4737;7600;52,4;11400;78,6;13831;669;16137;241
Vaxholm;5200;2775;2249;1900;36,5;3800;73,1;5024;176;6049;169
Värmdö;19900;12754;6514;8500;42,7;13200;66,3;19268;632;19714;203
Österåker;19600;13131;5407;9400;48,0;13200;67,3;18538;1062;18607;244
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
